rating,title,review_text,reviewer_name,date,helpful_votes
,,"Great AI feature very nice look sterdy body, excellent performance, value for money product, will edit my review after couple of months..and very timely installation, the technician is also very polite.",,,
,,Nic working and cleaning is good as other washing machine drum is good,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,Ponnusamy Marimuthu,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,Thanks to flipkart...,,,
,,Flipkart delivery mc full damage 15 days complete but not support,,Ponnusamy Marimuthu,
,,product is ok but damo and installation are very bad experience for IFB team and technician,,,
,,The product is really good and value for money,,,
,,"Very bad quality machine, I just bought Feb month now my machine is repair",,"Very bad quality machine, I just bought Feb month now my machine is repair",
,,Very nice machine working well and cleaning is easy,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,Decent product,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,Very good and valuable product.,,,
,,Good but cost is high,,,
,,Product is very good.,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,Too much noise.. not recommended please....to go for any other brands,,,
,,This product value for money,,,
,,Nice and good. Washing good and.low noise,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,Machine not working at 11 to 3 oclock machine displey show AEC error this regarding i call service person his said electric problem. Genualy electric problem so not working other timing.,,,
,,Very bad making noise in starting days I have purchased this 10 days before,,,
1,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powere...",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
,,"IFB 6.5 kg 5 Star with Deep Clean Technology, ActivMix, Powered by AI, with Aqua Energie, Soft Close Door, Fully Automatic Top Load Washing Machine Black, Grey Reviews",,,
1,,,,,
1,,,,,
,,"Product nice. While Installation person sells water conveter hard to soft,stand, cover, washing liquid and gives review by self 😊😊and 5k😁😁",,,
,,It's not a good one the machines stops working few months not so good,,,
,,It's just been 2 months and had to complain 3 times every 15 days new problem I sick and tired of this machine I do not recommend any to buy this waste of money,,,
,,Nice Product Value For Money... Iam Fully Satisfied Thanks to Flipkart and IFB.,,,
,,"It's the worst experience on the date of my life , not to explain words.",,,
